category,sales,category_total_sales
Furniture,394,4110884.0
Furniture,896,4110884.0
Furniture,364,4110884.0
Furniture,71,4110884.0
Furniture,241,4110884.0
Furniture,190,4110884.0
Furniture,510,4110884.0
Furniture,595,4110884.0
Furniture,185,4110884.0
Furniture,362,4110884.0
Furniture,244,4110884.0
Furniture,1322,4110884.0
Furniture,237,4110884.0
Furniture,418,4110884.0
Furniture,362,4110884.0
Furniture,122,4110884.0
Furniture,171,4110884.0
Furniture,218,4110884.0
Furniture,400,4110884.0
Furniture,170,4110884.0
Furniture,892,4110884.0
Furniture,400,4110884.0
Furniture,903,4110884.0
Furniture,146,4110884.0
Furniture,194,4110884.0
Furniture,1685,4110884.0
Furniture,81,4110884.0
Furniture,218,4110884.0
Furniture,242,4110884.0
Furniture,563,4110884.0
Furniture,569,4110884.0
Furniture,2887,4110884.0
Furniture,161,4110884.0
Furniture,513,4110884.0
Furniture,136,4110884.0
Furniture,288,4110884.0
Furniture,195,4110884.0
Furniture,903,4110884.0
Furniture,1336,4110884.0
Furniture,71,4110884.0
Furniture,42,4110884.0
Furniture,384,4110884.0
Furniture,638,4110884.0
Furniture,194,4110884.0
Furniture,274,4110884.0
Furniture,191,4110884.0
Furniture,1039,4110884.0
Furniture,365,4110884.0
Furniture,602,4110884.0
Furniture,170,4110884.0
Furniture,41,4110884.0
Furniture,1005,4110884.0
Furniture,242,4110884.0
Furniture,892,4110884.0
Furniture,185,4110884.0
Furniture,204,4110884.0
Furniture,2804,4110884.0
Furniture,292,4110884.0
Furniture,242,4110884.0
Furniture,725,4110884.0
Furniture,381,4110884.0
Furniture,604,4110884.0
Furniture,629,4110884.0
Furniture,113,4110884.0
Furniture,574,4110884.0
Furniture,146,4110884.0
Furniture,143,4110884.0
Furniture,122,4110884.0
Furniture,146,4110884.0
Furniture,340,4110884.0
Furniture,351,4110884.0
Furniture,448,4110884.0
Furniture,1706,4110884.0
Furniture,225,4110884.0
Furniture,233,4110884.0
Furniture,279,4110884.0
Furniture,230,4110884.0
Furniture,1004,4110884.0
Furniture,114,4110884.0
Furniture,322,4110884.0
Furniture,72,4110884.0
Furniture,24,4110884.0
Furniture,218,4110884.0
Furniture,301,4110884.0
Furniture,1478,4110884.0
Furniture,210,4110884.0
Furniture,1213,4110884.0
Furniture,681,4110884.0
Furniture,285,4110884.0
Furniture,301,4110884.0
Furniture,121,4110884.0
Furniture,2004,4110884.0
Furniture,322,4110884.0
Furniture,1422,4110884.0
Furniture,451,4110884.0
Furniture,1404,4110884.0
Furniture,195,4110884.0
Furniture,863,4110884.0
Furniture,122,4110884.0
Furniture,71,4110884.0
Furniture,1122,4110884.0
Furniture,1352,4110884.0
Furniture,770,4110884.0
Furniture,253,4110884.0
Furniture,130,4110884.0
Furniture,544,4110884.0
Furniture,145,4110884.0
Furniture,700,4110884.0
Furniture,1349,4110884.0
Furniture,230,4110884.0
Furniture,195,4110884.0
Furniture,170,4110884.0
Furniture,718,4110884.0
Furniture,273,4110884.0
Furniture,802,4110884.0
Furniture,698,4110884.0
Furniture,502,4110884.0
Furniture,341,4110884.0
Furniture,97,4110884.0
Furniture,82,4110884.0
Furniture,1159,4110884.0
Furniture,284,4110884.0
Furniture,523,4110884.0
Furniture,216,4110884.0
Furniture,486,4110884.0
Furniture,1673,4110884.0
Furniture,206,4110884.0
Furniture,435,4110884.0
Furniture,171,4110884.0
Furniture,109,4110884.0
Furniture,73,4110884.0
Furniture,2054,4110884.0
Furniture,162,4110884.0
Furniture,230,4110884.0
Furniture,569,4110884.0
Furniture,207,4110884.0
Furniture,225,4110884.0
Furniture,518,4110884.0
Furniture,437,4110884.0
Furniture,697,4110884.0
Furniture,564,4110884.0
Furniture,81,4110884.0
Furniture,1114,4110884.0
Furniture,892,4110884.0
Furniture,364,4110884.0
Furniture,269,4110884.0
Furniture,674,4110884.0
Furniture,114,4110884.0
Furniture,387,4110884.0
Furniture,915,4110884.0
Furniture,483,4110884.0
Furniture,802,4110884.0
Furniture,886,4110884.0
Furniture,146,4110884.0
Furniture,1603,4110884.0
Furniture,242,4110884.0
Furniture,162,4110884.0
Furniture,1293,4110884.0
Furniture,485,4110884.0
Furniture,299,4110884.0
Furniture,558,4110884.0
Furniture,154,4110884.0
Furniture,1013,4110884.0
Furniture,349,4110884.0
Furniture,2677,4110884.0
Furniture,284,4110884.0
Furniture,572,4110884.0
Furniture,226,4110884.0
Furniture,323,4110884.0
Furniture,454,4110884.0
Furniture,842,4110884.0
Furniture,241,4110884.0
Furniture,192,4110884.0
Furniture,362,4110884.0
Furniture,718,4110884.0
Furniture,170,4110884.0
Furniture,98,4110884.0
Furniture,722,4110884.0
Furniture,64,4110884.0
Furniture,711,4110884.0
Furniture,370,4110884.0
Furniture,915,4110884.0
Furniture,36,4110884.0
Furniture,572,4110884.0
Furniture,1326,4110884.0
Furniture,1404,4110884.0
Furniture,765,4110884.0
Furniture,3611,4110884.0
Furniture,121,4110884.0
Furniture,434,4110884.0
Furniture,122,4110884.0
Furniture,604,4110884.0
Furniture,586,4110884.0
Furniture,478,4110884.0
Furniture,567,4110884.0
Furniture,257,4110884.0
Furniture,1487,4110884.0
Furniture,100,4110884.0
Furniture,626,4110884.0
Furniture,130,4110884.0
Furniture,333,4110884.0
Furniture,88,4110884.0
Furniture,311,4110884.0
Furniture,55,4110884.0
Furniture,11,4110884.0
Furniture,79,4110884.0
Furniture,1007,4110884.0
Furniture,516,4110884.0
Furniture,24,4110884.0
Furniture,3,4110884.0
Furniture,7,4110884.0
Furniture,23,4110884.0
Furniture,128,4110884.0
Furniture,17,4110884.0
Furniture,20,4110884.0
Furniture,91,4110884.0
Furniture,32,4110884.0
Furniture,254,4110884.0
Furniture,42,4110884.0
Furniture,52,4110884.0
Furniture,60,4110884.0
Furniture,37,4110884.0
Furniture,25,4110884.0
Furniture,15,4110884.0
Furniture,32,4110884.0
Furniture,14,4110884.0
Furniture,70,4110884.0
Furniture,49,4110884.0
Furniture,333,4110884.0
Furniture,26,4110884.0
Furniture,58,4110884.0
Furniture,83,4110884.0
Furniture,19,4110884.0
Furniture,30,4110884.0
Furniture,547,4110884.0
Furniture,3,4110884.0
Furniture,65,4110884.0
Furniture,124,4110884.0
Furniture,254,4110884.0
Furniture,25,4110884.0
Furniture,290,4110884.0
Furniture,283,4110884.0
Furniture,168,4110884.0
Furniture,51,4110884.0
Furniture,43,4110884.0
Furniture,547,4110884.0
Furniture,8,4110884.0
Furniture,60,4110884.0
Furniture,274,4110884.0
Furniture,130,4110884.0
Furniture,21,4110884.0
Furniture,104,4110884.0
Furniture,17,4110884.0
Furniture,42,4110884.0
Furniture,32,4110884.0
Furniture,69,4110884.0
Furniture,4,4110884.0
Furniture,127,4110884.0
Furniture,65,4110884.0
Furniture,339,4110884.0
Furniture,220,4110884.0
Furniture,97,4110884.0
Furniture,8,4110884.0
Furniture,242,4110884.0
Furniture,2804,4110884.0
Furniture,24,4110884.0
Furniture,258,4110884.0
Furniture,419,4110884.0
Furniture,340,4110884.0
Furniture,290,4110884.0
Furniture,50,4110884.0
Furniture,46,4110884.0
Furniture,12,4110884.0
Furniture,390,4110884.0
Furniture,30,4110884.0
Furniture,102,4110884.0
Furniture,524,4110884.0
Furniture,146,4110884.0
Furniture,173,4110884.0
Furniture,64,4110884.0
Furniture,67,4110884.0
Furniture,55,4110884.0
Furniture,31,4110884.0
Furniture,6,4110884.0
Furniture,186,4110884.0
Furniture,337,4110884.0
Furniture,311,4110884.0
Furniture,31,4110884.0
Furniture,122,4110884.0
Furniture,724,4110884.0
Furniture,46,4110884.0
Furniture,684,4110884.0
Furniture,419,4110884.0
Furniture,274,4110884.0
Furniture,17,4110884.0
Furniture,221,4110884.0
Furniture,290,4110884.0
Furniture,15,4110884.0
Furniture,46,4110884.0
Furniture,21,4110884.0
Furniture,19,4110884.0
Furniture,44,4110884.0
Furniture,35,4110884.0
Furniture,3,4110884.0
Furniture,91,4110884.0
Furniture,239,4110884.0
Furniture,314,4110884.0
Furniture,165,4110884.0
Furniture,64,4110884.0
Furniture,48,4110884.0
Furniture,65,4110884.0
Furniture,13,4110884.0
Furniture,32,4110884.0
Furniture,155,4110884.0
Furniture,130,4110884.0
Furniture,1125,4110884.0
Furniture,25,4110884.0
Furniture,12,4110884.0
Furniture,218,4110884.0
Furniture,36,4110884.0
Furniture,208,4110884.0
Furniture,16,4110884.0
Furniture,56,4110884.0
Furniture,232,4110884.0
Furniture,49,4110884.0
Furniture,1124,4110884.0
Furniture,1167,4110884.0
Furniture,1014,4110884.0
Furniture,213,4110884.0
Furniture,20,4110884.0
Furniture,5,4110884.0
Furniture,20,4110884.0
Furniture,397,4110884.0
Furniture,51,4110884.0
Furniture,148,4110884.0
Furniture,78,4110884.0
Furniture,5,4110884.0
Furniture,22,4110884.0
Furniture,55,4110884.0
Furniture,71,4110884.0
Furniture,42,4110884.0
Furniture,8,4110884.0
Furniture,22,4110884.0
Furniture,8,4110884.0
Furniture,8,4110884.0
Furniture,5,4110884.0
Furniture,78,4110884.0
Furniture,46,4110884.0
Furniture,21,4110884.0
Furniture,103,4110884.0
Furniture,66,4110884.0
Furniture,15,4110884.0
Furniture,18,4110884.0
Furniture,39,4110884.0
Furniture,30,4110884.0
Furniture,49,4110884.0
Furniture,148,4110884.0
Furniture,533,4110884.0
Furniture,28,4110884.0
Furniture,466,4110884.0
Furniture,83,4110884.0
Furniture,79,4110884.0
Furniture,55,4110884.0
Furniture,52,4110884.0
Furniture,15,4110884.0
Furniture,73,4110884.0
Furniture,263,4110884.0
Furniture,64,4110884.0
Furniture,26,4110884.0
Furniture,8,4110884.0
Furniture,182,4110884.0
Furniture,30,4110884.0
Furniture,191,4110884.0
Furniture,35,4110884.0
Furniture,69,4110884.0
Furniture,94,4110884.0
Furniture,61,4110884.0
Furniture,149,4110884.0
Furniture,9,4110884.0
Furniture,842,4110884.0
Furniture,114,4110884.0
Furniture,114,4110884.0
Furniture,899,4110884.0
Furniture,121,4110884.0
Furniture,312,4110884.0
Furniture,162,4110884.0
Furniture,281,4110884.0
Furniture,69,4110884.0
Furniture,48,4110884.0
Furniture,308,4110884.0
Furniture,170,4110884.0
Furniture,112,4110884.0
Furniture,24,4110884.0
Furniture,934,4110884.0
Furniture,14,4110884.0
Furniture,8,4110884.0
Furniture,884,4110884.0
Furniture,14,4110884.0
Furniture,206,4110884.0
Furniture,238,4110884.0
Furniture,266,4110884.0
Furniture,442,4110884.0
Furniture,622,4110884.0
Furniture,75,4110884.0
Furniture,365,4110884.0
Furniture,40,4110884.0
Furniture,192,4110884.0
Furniture,52,4110884.0
Furniture,242,4110884.0
Furniture,88,4110884.0
Furniture,47,4110884.0
Furniture,121,4110884.0
Furniture,259,4110884.0
Furniture,4,4110884.0
Furniture,314,4110884.0
Furniture,1603,4110884.0
Furniture,884,4110884.0
Furniture,230,4110884.0
Furniture,338,4110884.0
Furniture,674,4110884.0
Furniture,409,4110884.0
Furniture,14,4110884.0
Furniture,23,4110884.0
Furniture,12,4110884.0
Furniture,195,4110884.0
Furniture,230,4110884.0
Furniture,291,4110884.0
Furniture,1487,4110884.0
Furniture,478,4110884.0
Furniture,404,4110884.0
Furniture,105,4110884.0
Furniture,650,4110884.0
Furniture,11,4110884.0
Furniture,13,4110884.0
Furniture,509,4110884.0
Furniture,907,4110884.0
Furniture,33,4110884.0
Furniture,29,4110884.0
Furniture,23,4110884.0
Furniture,12,4110884.0
Furniture,121,4110884.0
Furniture,68,4110884.0
Furniture,83,4110884.0
Furniture,544,4110884.0
Furniture,854,4110884.0
Furniture,802,4110884.0
Furniture,1326,4110884.0
Furniture,52,4110884.0
Furniture,55,4110884.0
Furniture,102,4110884.0
Furniture,15,4110884.0
Furniture,604,4110884.0
Furniture,4,4110884.0
Furniture,23,4110884.0
Furniture,17,4110884.0
Furniture,16,4110884.0
Furniture,579,4110884.0
Furniture,25,4110884.0
Furniture,21,4110884.0
Furniture,15,4110884.0
Furniture,15,4110884.0
Furniture,467,4110884.0
Furniture,98,4110884.0
Furniture,663,4110884.0
Furniture,266,4110884.0
Furniture,483,4110884.0
Furniture,582,4110884.0
Furniture,25,4110884.0
Furniture,300,4110884.0
Furniture,218,4110884.0
Furniture,230,4110884.0
Furniture,570,4110884.0
Furniture,216,4110884.0
Furniture,604,4110884.0
Furniture,976,4110884.0
Furniture,2405,4110884.0
Furniture,450,4110884.0
Furniture,307,4110884.0
Furniture,98,4110884.0
Furniture,614,4110884.0
Furniture,451,4110884.0
Furniture,178,4110884.0
Furniture,216,4110884.0
Furniture,389,4110884.0
Furniture,291,4110884.0
Furniture,43,4110884.0
Furniture,221,4110884.0
Furniture,963,4110884.0
Furniture,698,4110884.0
Furniture,185,4110884.0
Furniture,114,4110884.0
Furniture,533,4110884.0
Furniture,168,4110884.0
Furniture,197,4110884.0
Furniture,435,4110884.0
Furniture,2004,4110884.0
Furniture,307,4110884.0
Furniture,562,4110884.0
Furniture,62,4110884.0
Furniture,123,4110884.0
Furniture,586,4110884.0
Furniture,437,4110884.0
Furniture,482,4110884.0
Furniture,49,4110884.0
Furniture,458,4110884.0
Furniture,323,4110884.0
Furniture,192,4110884.0
Furniture,288,4110884.0
Furniture,322,4110884.0
Furniture,184,4110884.0
Furniture,314,4110884.0
Furniture,401,4110884.0
Furniture,242,4110884.0
Furniture,258,4110884.0
Furniture,241,4110884.0
Furniture,114,4110884.0
Furniture,524,4110884.0
Furniture,722,4110884.0
Furniture,579,4110884.0
Furniture,354,4110884.0
Furniture,137,4110884.0
Furniture,389,4110884.0
Furniture,450,4110884.0
Furniture,681,4110884.0
Furniture,186,4110884.0
Furniture,899,4110884.0
Furniture,626,4110884.0
Furniture,4229,4110884.0
Furniture,2004,4110884.0
Furniture,46,4110884.0
Furniture,884,4110884.0
Furniture,276,4110884.0
Furniture,802,4110884.0
Furniture,354,4110884.0
Furniture,177,4110884.0
Furniture,1573,4110884.0
Furniture,4008,4110884.0
Furniture,242,4110884.0
Furniture,698,4110884.0
Furniture,78,4110884.0
Furniture,32,4110884.0
Furniture,198,4110884.0
Furniture,197,4110884.0
Furniture,232,4110884.0
Furniture,17,4110884.0
Furniture,98,4110884.0
Furniture,187,4110884.0
Furniture,14,4110884.0
Furniture,451,4110884.0
Furniture,207,4110884.0
Furniture,46,4110884.0
Furniture,5,4110884.0
Furniture,410,4110884.0
Furniture,44,4110884.0
Furniture,103,4110884.0
Furniture,364,4110884.0
Furniture,316,4110884.0
Furniture,78,4110884.0
Furniture,5,4110884.0
Furniture,163,4110884.0
Furniture,28,4110884.0
Furniture,78,4110884.0
Furniture,195,4110884.0
Furniture,207,4110884.0
Furniture,225,4110884.0
Furniture,19,4110884.0
Furniture,17,4110884.0
Furniture,336,4110884.0
Furniture,18,4110884.0
